# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	482
#@/user_id	6d88d04c-81af-4f7f-b919-dba7c1a0b662
mo ren zhi 	默認值	c=2 d=0.975943 t=482
mo shi 	模式	c=1 d=0.786514 t=482
na 	哪	c=2 d=0.985752 t=482
na 	那	c=1 d=0.465334 t=482
na ge 	那個	c=4 d=1.21234 t=482
nai niu 	奶牛	c=2 d=1.85086 t=482
nan 	難	c=1 d=0.687289 t=482
ne 	呢	c=1 d=0.965605 t=482
ne ba 	呢吧	c=1 d=0.440432 t=482
neng 	能	c=1 d=0.718924 t=482
ni 	你	c=3 d=2.78382 t=482
ni men 	你們	c=6 d=2.40709 t=482
nian 	年	c=1 d=0.438235 t=482
niao 	鳥	c=13 d=11.4632 t=482
niao niao 	尿尿	c=1 d=1 t=465
pao guo qu 	跑過去	c=2 d=1.99501 t=482
pei 	配	c=1 d=1 t=473
pei zhi 	配置	c=2 d=0.969729 t=482
pin 	品	c=1 d=0.714909 t=482
pin pai 	品牌	c=2 d=1.88825 t=482
ping guo 	蘋果	c=2 d=0.756274 t=482
ping jun 	平均	c=1 d=0.451581 t=482
qian 	前	c=3 d=1.92432 t=482
qian guo lai 	遷過來	c=2 d=1.37802 t=482
qian yi 	遷移	c=2 d=1.5851 t=482
qin 	親	c=2 d=1.88825 t=482
qu 	去	c=5 d=2.65206 t=482
qu 	取	c=6 d=3.80146 t=482
qu bang ding 	去綁定	c=1 d=0.704688 t=482
quan bu 	全部	c=1 d=0.628135 t=482
que ren 	確認	c=4 d=1.99254 t=482
ran 	然	c=2 d=1.37115 t=482
ran hou 	然後	c=1 d=0.442639 t=482
ren 	人	c=3 d=2.30837 t=482
ren wu 	任務	c=2 d=1.25314 t=482
reng 	扔	c=1 d=1 t=482
reng zou 	扔走	c=1 d=1 t=482
ru 	入	c=1 d=0.970446 t=482
ru can 	入參	c=1 d=0.985112 t=482
ru guo 	如果	c=2 d=1.38493 t=482
ruo 	若	c=2 d=1.46003 t=482
sa 	撒	c=2 d=1.67485 t=482
sa den 	撒㩐	c=1 d=1.02528 t=482
sa den a 	撒㩐啊	c=1 d=0.847894 t=482
sa den kuang 	撒㩐狂	c=1 d=0.980199 t=482
sai 	賽	c=1 d=0.744532 t=482
sha 	啥	c=2 d=1.83033 t=482
sha wan yi 	啥玩意	c=1 d=0.918512 t=482
shan diao 	刪掉	c=2 d=1.53058 t=482
shang 	上	c=5 d=2.92277 t=482
shang 	商	c=1 d=0.451581 t=482
shang hai 	上海	c=1 d=0.449329 t=482
shang jia 	商家	c=10 d=7.01637 t=482
shang pin 	商品	c=8 d=3.8662 t=482
shang xiang ye 	商詳頁	c=3 d=1.52169 t=482
shen he 	審覈	c=4 d=2.16327 t=482
shen me 	什麼	c=1 d=0.591555 t=482
sheng dan ka 	聖誕卡	c=0 d=0.0733447 t=482
sheng dan ka lang fei 	聖誕卡浪費	c=1 d=0.737123 t=482
shi 	使	c=0 d=0.0543351 t=482
shi 	是	c=15 d=6.03467 t=482
shi 	時	c=6 d=3.16665 t=482
shi de 	使得	c=3 d=2.34819 t=482
shi de 	是的	c=5 d=4.95037 t=467
shi fou 	是否	c=4 d=1.76297 t=482
shi jian 	時間	c=8 d=3.87129 t=482
shi xia 	試下	c=1 d=0.767206 t=482
shou ji 	手機	c=3 d=1.68236 t=482
shu 	數	c=1 d=0.814647 t=482
shu fu 	舒服	c=2 d=1.99501 t=481
shu ju ku 	數據庫	c=2 d=1.89771 t=482
shu liang 	數量	c=2 d=1.43426 t=482
shu ru fa 	輸入法	c=1 d=0.56836 t=482
shua 	刷	c=1 d=0.810584 t=482
shua shu 	刷數	c=1 d=0.810584 t=482
shuang pin 	雙拼	c=5 d=2.19911 t=482
shui 	誰	c=4 d=3.29963 t=482
si 	死	c=2 d=1.15679 t=482
si de 	似的	c=2 d=1.93605 t=482
song 	送	c=1 d=0.826959 t=482
sui 	碎	c=2 d=1.32399 t=482
sui yi 	隨意	c=2 d=1.70856 t=482
ta 	它	c=2 d=1.99501 t=482
ti gong 	提供	c=6 d=3.06175 t=482
ti me 	提麼	c=1 d=0.66034 t=482
ti shen 	提審	c=2 d=1.39187 t=482
tian 	天	c=2 d=1.86013 t=482
tiao zhuan 	跳轉	c=6 d=4.28728 t=482
ting 	挺	c=2 d=1.87883 t=482
ting 	聽	c=2 d=1.74307 t=482
tong 	同	c=2 d=1.89771 t=482
tuan 	團	c=1 d=0.384812 t=482
tui kuan 	退款	c=2 d=0.760065 t=482
wa chuan 	挖穿	c=2 d=1.63338 t=482
wan 	玩	c=2 d=1.99501 t=482
wan yi 	玩意	c=0 d=0.0913931 t=482
wang 	王	c=2 d=1.5137 t=482
wang 	網	c=1 d=0.786514 t=482
wang da rui 	王大蕊	c=2 d=1.45594 t=482
wang da rui 	網大蕊	c=1 d=0.715338 t=482
wei 	未	c=1 d=0.82684 t=482
wei 	爲	c=11 d=4.25218 t=482
wei bang ding 	未綁定	c=1 d=0.752014 t=482
wei kong 	爲空	c=1 d=0.802519 t=482
wei shen me 	爲什麼	c=1 d=0.843665 t=482
wen dang 	文檔	c=6 d=5.00916 t=482
wen hao 	問號	c=3 d=2.36006 t=482
wen jian 	文件	c=1 d=0.873716 t=482
wen ti 	問題	c=1 d=0.562705 t=482
wo 	我	c=19 d=8.96215 t=482
wo de 	我的	c=3 d=1.91384 t=482
wo men 	我們	c=1 d=0.690734 t=482
wu 	捂	c=1 d=0.951229 t=482
wu mo 	惡魔	c=1 d=0.847894 t=482
xi 	洗	c=1 d=0.802519 t=482
xia 	下	c=2 d=1.32957 t=482
xia dan 	下單	c=4 d=1.86261 t=482
xia dan shi 	下但是	c=2 d=0.914594 t=482
xia dan shi 	下單時	c=1 d=0.470011 t=482
xia lai 	下來	c=1 d=0.722527 t=482
xian zhi 	限制	c=2 d=1.47057 t=482
xiang 	像	c=2 d=1.91678 t=482
xiang 	詳	c=1 d=0.453845 t=482
xiang guan 	相關	c=1 d=0.559898 t=482
